Model,Accuracy,AUC,Precision,Recall,F1,MCC,CV Accuracy (mean),CV Accuracy (std),CV F1 (mean),Fit time (s),Train Accuracy
Logistic Regression,0.9580382900603199,0.9971603898336421,0.9607658909216958,0.9572809982664603,0.9588892399463493,0.9415831175668619,0.9550878313670659,0.006550366533449919,0.9548334594530237,1.4371375560760498,0.962098864753732
Decision Tree,0.898505114083399,0.9602402538765903,0.9040541441392201,0.8973038482339465,0.9002428189477409,0.8586800347697283,0.8998769327345599,0.0020916200515955097,0.8991952617871897,0.4602672576904297,0.9633503173326182
kNN,0.8893259900340938,0.9828864889683631,0.9000536164418402,0.8839278093634331,0.8910606000698501,0.8456866698891764,0.8866033851927005,0.010098600455664334,0.8853959413663869,0.20260119438171387,1.0
Naive Bayes (Gaussian),0.7060057697351168,0.9465055929880926,0.7197011362556687,0.7712502778886189,0.7011408190602065,0.6309942265956665,0.7273968870818073,0.015945864776903084,0.7162272615291976,0.18856582641601563,0.7293286850808974
Random Forest (Ensemble),0.9441384736428009,0.9948012918223624,0.9486369853352996,0.9439372964523922,0.946071961812379,0.9222539535777714,0.9445167415344085,0.006420402111322082,0.9455750710376499,3.687983274459839,0.9789934745686958
SVM (RBF),0.953317597692106,0.9961313389507662,0.9566725168187147,0.9501632148118517,0.9532616593833575,0.9349270811259939,0.9517672590876151,0.007470795998369713,0.9508727865112089,15.715580654144286,0.9630821489228569
